Date,Units,NAV,Amount,fundcode,fundname
06-06-2023,60.338,165.72,10000.0,120828,quant Small Cap Fund
06-07-2023,57.222,174.75,10000.0,120828,quant Small Cap Fund
07-08-2023,53.783,185.92,10000.0,120828,quant Small Cap Fund
06-09-2023,50.724,197.13,10000.0,120828,quant Small Cap Fund
09-10-2023,51.9,192.67,10000.0,120828,quant Small Cap Fund
07-11-2023,51.08,195.76,10000.0,120828,quant Small Cap Fund
06-12-2023,46.086,216.98,10000.0,120828,quant Small Cap Fund
08-01-2024,43.0,232.55,10000.0,120828,quant Small Cap Fund
07-02-2024,38.803,257.7,10000.0,120828,quant Small Cap Fund
22-04-2024,18.928,264.15,5000.0,120828,quant Small Cap Fund
22-04-2024,18.928,264.15,5000.0,120828,quant Small Cap Fund
11-06-2024,17.952,278.5,5000.0,120828,quant Small Cap Fund
20-06-2024,17.325,288.59,5000.0,120828,quant Small Cap Fund
08-07-2024,16.928,295.35,5000.0,120828,quant Small Cap Fund
22-07-2024,17.184,290.95,5000.0,120828,quant Small Cap Fund
08-08-2024,17.2,290.69,5000.0,120828,quant Small Cap Fund
20-08-2024,16.802,297.57,5000.0,120828,quant Small Cap Fund
09-09-2024,16.583,301.5,5000.0,120828,quant Small Cap Fund
11-09-2024,3.309,302.17,1000.0,120828,quant Small Cap Fund
20-09-2024,16.493,303.15,5000.0,120828,quant Small Cap Fund
08-10-2024,16.925,295.4,5000.0,120828,quant Small Cap Fund
22-10-2024,17.629,283.61,5000.0,120828,quant Small Cap Fund
08-11-2024,17.225,290.26,5000.0,120828,quant Small Cap Fund
21-11-2024,18.196,274.77,5000.0,120828,quant Small Cap Fund
04-12-2024,33.759,296.2,10000.0,120828,quant Small Cap Fund
06-01-2025,35.947,278.17,10000.0,120828,quant Small Cap Fund
30-01-2025,38.984,256.51,10000.0,120828,quant Small Cap Fund
03-03-2025,43.162,231.67,10000.0,120828,quant Small Cap Fund
02-04-2025,40.071,249.55,10000.0,120828,quant Small Cap Fund
02-05-2025,39.07,255.94,10000.0,120828,quant Small Cap Fund
02-06-2025,36.632,272.98,10000.0,120828,quant Small Cap Fund
18-07-2025,34.885,286.64,10000.0,120828,quant Small Cap Fund
01-08-2025,36.419,274.57,10000.0,120828,quant Small Cap Fund
01-11-2025,8.353,119.71,1000.0,127042,Motilal Oswal Midcap Fund
05-11-2025,677.739,118.03,80000.0,127042,Motilal Oswal Midcap Fund
11-12-2025,175.532,113.9338,20000.0,127042,Motilal Oswal Midcap Fund
11-12-2025,175.532,113.9338,20000.0,127042,Motilal Oswal Midcap Fund
12-12-2017,1390.833,129.42,180000.0,151034,HSBC Midcap Fund
25-03-2022,64.163,77.92,5000.0,119775,Kotak Midcap Fund
06-04-2022,60.715,82.35,5000.0,119775,Kotak Midcap Fund
17-05-2022,66.124,75.61,5000.0,119775,Kotak Midcap Fund
16-06-2022,69.332,72.11,5000.0,119775,Kotak Midcap Fund
15-07-2022,65.109,76.79,5000.0,119775,Kotak Midcap Fund
17-08-2022,58.626,85.28,5000.0,119775,Kotak Midcap Fund
16-09-2022,11.518,86.82,1000.0,119775,Kotak Midcap Fund
03-11-2022,115.93,86.26,10000.0,119775,Kotak Midcap Fund
